,A-1,A-2
ALI_R2_B2,0.0946149066452626,0.452826025546837
normal_R7_B2,-1.25021662283864,0.935656154792017
IPF_R6_B2,0.190804548277729,0.123864728369382
IPF_R4_B2,-0.158864373074287,1.09843265231794
IPF_R24_B1,0.548878490926849,-0.604939656110708
normal_R2_B2,0.11886247305624,0.4035673918097
ALI_R9_B2,-0.195803199074605,0.409759047381335
normal_R8_B2,-0.970030603793522,0.78467109400233
IPF_R20_B1,0.823890010830232,-0.743253928341135
normal_R5_B2,-0.973187548110557,0.693236102211134
normal_R6_B2,-1.30334104041563,0.861651761675215
normal_R4_B2,-1.24596286652843,0.459151557588206
normal_R3_B2,-0.831591504895061,0.0720042405415208
ALI_R6_B2,-0.879835927087269,0.604559365066075
IPF_R7_B2,0.565742481053177,-0.0732957275384663
Normal_R4_B1,-0.315488545050791,0.323611553983911
Normal_R19_B1,-0.615529598761599,0.619403662098099
normal_R1_B2,-0.959005222629758,0.51656467774639
ALI_R3_B2,-0.833064697836784,0.576356046017438
IPF_R1_B2,0.585342620340905,-0.38265195787825
IPF_R25_B1,0.504076183932594,-0.887401622677801
ALI_R5_B2,-0.693411434940454,0.636367436368983
ALI_R8_B2,-0.810547204427214,0.469001488145196
IPF_R2_B1,0.610116561324368,0.659314571463599
Normal_R9_B1,-0.931901564372196,0.973873688997387
IPF_R1_B1,0.903495517212833,-0.163190229362044
Normal_R18_B1,0.652455084669104,-0.261688142694466
Normal_R15_B1,-0.6088645917373,0.491522426817417
IPF_R27_B1,0.719051624533162,-0.455156461407616
ALI_R7_B2,-0.875129008430288,0.753050842737308
IPF_R17_B1,0.527093699583346,-1.19531766154942
IPF_R5_B2,0.591526168982073,-0.68911075392296
IPF_R9_B2,0.436221543278894,-0.62813002899331
ALI_R4_B2,-0.337406051515225,1.0592550804625
IPF_R15_B1,0.766437837065006,-1.10360304965374
IPF_R13_B1,0.440278801378089,0.528267324082457
Normal_R10_B1,-0.501798462473826,0.364645167695074
IPF_R30_B1,1.08117798943754,-0.930863790858525
IPF_R3_B1,0.403133533659351,-1.48131219730308
Normal_R6_B1,-0.824463076520451,-0.0406244161556902
IPF_R16_B1,0.64252239939847,-0.604379100980695
IPF_R10_B1,0.954082336004553,-0.668519679282539
IPF_R29_B1,0.568581245951475,0.135425735737448
IPF_R9_B1,0.894197675557381,-0.876760153903773
Normal_R16_B1,-1.26002744200317,0.391626795479494
IPF_R35_B1,1.0424230399044,-0.675482998435568
Normal_R5_B1,-1.19083377416859,0.852641788191676
IPF_R5_B1,0.707310980589888,-0.840583655214533
IPF_R12_B1,0.824455569316678,-1.05289368878266
Normal_R14_B1,-1.05581100954181,0.827521296179103
IPF_R21_B1,1.17877031512586,-0.956372697365974
IPF_R23_B1,0.812005112169956,0.142953282626318
IPF_R7_B1,0.125699007457931,0.43647163265835
IPF_R8_B2,0.61661740989253,-0.914200107029609
IPF_R4_B1,0.877175552753413,-0.882777374417098
IPF_R3_B2,0.907663805954853,-0.867239559768502
IPF_R26_B1,1.12550679594624,-0.871674357863524
IPF_R2_B2,0.435031535679534,-0.568850290583716
IPF_R34_B1,-0.0319407702983322,0.307396531117241
Normal_R2_B1,-0.746531535844482,-0.0738851261833022
IPF_R8_B1,0.607298702083982,-0.419856178103496
Normal_R1_B1,-0.869587410697068,1.03211206730824
Normal_R13_B1,-1.07895328003052,0.415041857522722
IPF_R14_B1,-0.149852896954806,0.606562484794229
IPF_R10_B2,0.135052901532303,0.716476253285961
IPF_R31_B1,0.291089021594634,0.419666023375278
Normal_R7_B1,-1.25028432889397,0.830198054034038
IPF_R19_B1,0.175506386641465,-0.741363644786941
IPF_R6_B1,0.758017178061942,-1.18183885959133
IPF_R11_B1,1.10330722848662,-0.87476349164964
IPF_R28_B1,0.489900654182052,0.431149091238237
IPF_R32_B1,-0.146231580603687,-0.259170991695065
Normal_R17_B1,-0.928077226892565,0.504177490950992
Normal_R3_B1,-1.18216249224153,0.91096813155486
Normal_R20_B1,-1.0758984501372,0.445577861555667
IPF_R33_B1,0.418948406535374,-1.05931898419197
IPF_R18_B1,1.0894767973258,-0.767478793030036
IPF_R22_B1,0.466383080540554,-0.186497318576564
IPF_R36_B1,0.352777603654705,0.490889777155965
Normal_R11_B1,-1.08136547570774,0.216976433200468
