gtex,pietro
adipose.subcutaneous,adipose.subcutaneous
adipose.visceral.omentum,adipose.visceral
artery.aorta,artery.aorta
artery.tibial,artery.tibial
brain.cerebellar.hemisphere,
brain.cerebellum,brain.cerebellum
brain.putamen.basal.ganglia,
breast.mammary.tissue,breast.mammary.tissue
esophagus.gastroesophageal.junction,
esophagus.mucosa,
esophagus.muscularis,
heart.atrial.appendage,
heart.left.ventricle,heart.left.ventricle
kidney.cortex,kidney.cortex
liver,liver
lung,lung
minor.salivary.gland,
muscle.skeletal,muscle.skeletal
nerve.tibial,nerve.tibial
pancreas,pancreas
pituitary,pituitary
skin.not.sun.exposed.suprapubic,skin.not.sun.exposed
skin.sun.exposed.lower.leg,skin.sun.exposed
stomach,
thyroid,thyroid
whole.blood,whole.blood
,brain.anterior.cingulate.cortex
